login;password;last_name;first_name;middle_name;birth_date;phone;email;snils;created_by;created_when;modified_by;modified_when
Terapeft;Terapeft2023*;Иванов;Иван;Иванович;1990-01-01;+7-933-111-22-33;terapeft2023@yandex.ru;123-321-123 55;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP
Virusolog;Virusolog2023*;Петров;Иван;Кириякович;1984-02-05;+7-922-131-11-77;virusolog2023@yandex.ru;321-555-666 44;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP
Ginekolog;Ginekolog2023*;Тополева;Раиса;Степановна;1976-03-10;+7-911-555-22-11;ginekolog2023@yandex.ru;444-036-413 11;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP
Dietolog;Dietolog2023*;Соболева;Мария;Федоровна;1971-07-01;+7-911-111-32-44;dietolog2023@yandex.ru;123-999-111 22;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP
Kardiolog;Kardiolog2023*;Степанов;Николай;Петрович;1990-10-07;+7-911-222-33-11;kardiolog2023@yandex.ru;105-111-321 11;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP
Logoped;Logoped2023*;Соболев;Михаил;Анатольевич;1989-01-02;+7-911-751-11-33;logoped2023@yandex.ru;111-333-444 22;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP
Mammolog;Mammolog2023*;Киприянова;Любовь;Анатольевна;1975-05-05;+7-911-222-75-13;mammolog2023@yandex.ru;521-412-321 33;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP
Narkolog;Narkolog2023*;Ползунова;Нина;Ивановна;1980-02-07;+7-911-456-74-33;narkolog2023@yandex.ru;645-212-123 22;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP
Nevropatolog;Nevropatolog2023*;Копылова;Светлана;Ивановна;1961-12-09;+7-911-212-11-33;nevropatolog2023@yandex.ru;123-444-213 22;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP
Onkolog;Onkolog2023*;Потапов;Анатолий;Иванович;1972-11-12;+7-911-421-22-44;onkolog2023@yandex.ru;135-444-132 11;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP

Rafail;Rafail2023*;Каримов;Рафаиль;Римович;1985-01-09;+7-900-000-00-00;Raf_2003@mail.ru;111-444-222 11;Admin;CURRENT_TIMESTAMP;Admin;CURRENT_TIMESTAMP

